eventnumber,PID,time,x,y,z,r,material,energydeposition,pedetected,detectionefficiency,quantumefficiency,InnerSlice0,InnerSlice1,InnerSlice2,InnerSlice3,InnerSlice4,InnerSlice5,InnerSlice6,InnerSlice7,InnerSlice8,InnerSlice9,InnerSlice10,InnerSlice11,OuterSlice0,OuterSlice1,OuterSlice2,OuterSlice3,OuterSlice4,OuterSlice5,OuterSlice6,OuterSlice7,OuterSlice8,OuterSlice9,OuterSlice10,OuterSlice11,OuterSlice12,OuterSlice13,OuterSlice14,OuterSlice15,OuterSlice16,OuterSlice17,OuterSlice18,OuterSlice19,
49232,11,26.3806303714023,-148.392206471813,536.085996473847,529.277715752156,556.244948342841,ArgonLiquid,101.449645035546,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.2789455985013,-171.939012532485,517.994606845872,535.898698830529,545.785156221801,ArgonLiquid,25.9896571804812,0,0.000984,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,26.1455572029874,-197.496307048969,548.829703189733,534.547601362735,583.282808251119,ArgonLiquid,90.5298703592109,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,25.9260600042103,-131.71822467023,551.905772524327,537.140966865093,567.406091310229,ArgonLiquid,128.31209451116,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,25.4004464264609,-110.979685674675,683.79989298295,452.815045227682,692.747273019493,ArgonLiquid,312.999210410884,1,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,24.6704099183581,96.8095771676415,687.794284862852,384.453569322066,694.574022348504,ArgonLiquid,53.131631172873,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,24.6797841085294,125.137042913661,561.459361496947,495.967319105203,575.235511874689,ArgonLiquid,252.732935009226,1,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,24.5005225600755,143.36955738797,574.41147108415,447.204463821092,592.03324914964,ArgonLiquid,7.04911398348879,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,24.3961887033062,162.307271638869,577.139509438232,422.413509873417,599.527867393548,ArgonLiquid,57.9076509155158,0,0.000656,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,11,25.5465162762264,218.072293432364,651.537188453717,536.0565824763,687.063485495355,ArgonLiquid,71.7010746562861,0,0.000656,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
